Titel,Preis (€),Vergleichspreis (€),Grad
"[REWE Kartenwelt] Maximal 4,76 % Rabatt für iPhone, Google Pixel & Co. für Wunschgutscheine ==> einlösbar für Amazon",100,105,436
"""Ghostrunner 2"" (PS5) zum schneidgen Preis bei Media Markt",13.7,25.63,306
Qwertee - Großer T-Shirt Abverkauf ab 4€ pro Shirt,4,17,477
Le Feu Turtle 3.1 Gas-Pizzaofen,178.9,249,116
DEICHMANN online -20% auf eine riesige Auswahl!,0,0,225
DEATH STRANDING Director's Cut - PS5,19.99,29.9,232
TP-Link Deco X50 Mesh WLAN Set (2er Pack),102.76,129.9,205
"Film: ""Legenden der Leidenschaft"" mit Anthony Hopkins, Brad Pitt und Aidan Quinn, als Stream oder zum Herunterladen aus der 3Sat Mediathek",0,2.99,245
Adidas Camo Graphics Backpack utility black (IT7534),19,29.99,197
"""Grand Theft Auto V Premium Edition"" (PS4 / XBOX One und PS5 bzw. Series X durch Abwärtskompatibilität)",10,17.9,625
UNCHARTED: Legacy of Thieves Collection - PS5,19.99,33.28,230
RAZER Gaming-Stuhl »Tarok Pro X by Zen« bis 130kg,173.99,200.65,200
"Redbull 0,76€ bei Hofer ab 40€ mit Gutschein",0.77,0.99,191
"Smarter Toilettensitz Smartmi 2S: UV-Sterilisation, personalisiertes Waschen und Warmlufttrocknen",198.99,246.87,550
"PENNY Olivenöl 0,75 Liter um 6,39€",6.39,7.99,110
Xiaomi Smart Multifunktions - Reiskocher 3L,33.9,46.98,217
XXXLutz: 1+1 gratis auf ausgewählte Sesseln - z.B. 2x P&B Sessel in Bouclé braun oder weiß,33.95,98,535
"EliteBook 835 G8, 33,8cm/13,3"",Ryzen 5 Pro,256GB SSD (generalüberholt)",368.99,0,169
CHUCK 70 WEDGE PLATFORM - Sneaker high Trail Mixed/Egret/Schwarz | Größe 35-42,68.99,102.95,187
"TCL 98Q6C 98 Zoll QD-Mini LED Fernseher, 144Hz, 1000nits",1914.96,2198.99,239
"FLEXISPOT Relaxsessel, Pushback, Fernsehsessel mit Liegefunktion",138.84,220.99,227
"Ninebot by Segway E2 Pro E Elektro-Roller 25km/h, bis 40km",299,436,522
Midea PortaSplit Klimaanlage Wärmepumpe,868,0,319
JACOBS Auslese Crema Ganze Bohne 1kg,10.99,17.99,196
Philips Serie 2200 Kaffeevollautomat,262.16,274.99,151
[Hofer] Das Outdoory-Handy (Notfall-Handy) TCL 3189 schwarz/grau,23.99,49.41,268
Jö-App: Kaffee für 1 Ö bei OMV-Tankstellen (30x gültig),0.02,0,908
Nike Dunk Low Next Nature Women white/elemental pink | Größe 36-43,83.3,100.5,157
[Nespresso] 40€ Gutschein beim Kauf einer Maschine erhalten,40,0,158
Mavic Cosmic II Bib Herren Bikeshort in Schwarz oder Blau | Größe S-XXL,38.94,64.92,172
"PROFI COOK 2-Schlitz Toaster Vintage PC-TA 1193 anthrazit Toaster (Anthrazit, 815 Watt, Schlitze: 2)",25,47.31,188
"Lavazza Crema e Aroma Kaffeebohnen, 1.00kg",13.33,19.99,108
3x 250ml LIQUI MOLY Scheibenwischwasser Scheibenreiniger-Superkonzentrat Citrus 1:100,7.86,13.62,291
Athen Stadt: Royalty Suites Psyrri 4* mit Frühstück und Standard Studio - z.B. 7 Nächte Juli + August,609,1284,251
"Xiaomi POCO X6 Pro 5G Smartphone, 12/512GB, 67W Laden, 64MP 3-fach Kamera",215.04,242,348
Costa Brava: Adults Only: Lloret Vibe Affiliated by FERGUS 4* mit Halbpension und Deluxe Zimmer,597,756,236
vamos infinito,11.08,25,724
"MISURA EG34RWA 34-Zoll-WQHD-Monitor Curved, 165hz",285.9,0,202
"AtomStack P1 Lasergravierer, 5W, Gravierbereich: 110x110mm",182.99,235.96,213
Aktion bei Lidl Connect: -50% auf den 1. Monat,4.75,9.5,277
"DYSON V12 ORIGIN Stielstaubsauger (0,35 l, Akkulaufzeit: 60 min, Nickel) - App Deal",359.1,399,235
2x Ledvance Endura Garden Dot Gartenleuchte | 18 Dots | Warmweiß,30.9,68.06,175
"DE LONGHI ECAM450.55.G Eletta Explore Kaffeevollautomat (Grau, 19 bar, externer Milchbehälter) - App Deal",629.1,805.71,179
"Petra PT2017TVDE XL-Sandwichtoaster, 900W, BPA-frei",15.12,32.92,254
"[Apple iTunes] Gladiator II (4K, Dolby Atmos, Dolby Vision)",7.99,16.99,148
TP-Link Tapo T110 - Smarter Tür- & Fenstersensor - 6er Set,71.95,89.4,188
Grohe Rainshower Smartactive 310 Duschsystem mit Thermostatbatterie,407.95,673.61,201
SILIT Silit Calabria 24 & 28 cm Pfannen-Set (Edelstahl),49.99,79.9,462
FRESSNAPF -20 % auf Zubehör & Streu,0,0,248
"""Motorsport Manager Mobile 3"" (Android / iOS) gratis im Google PlayStore oder Apple AppStore - keine Werbung -",0,2.09,369
"Die 0,99€ Prime Video Leih Aktion ist wieder da! (Für Prime Mitglieder)",0.99,0,256
[VKI] Produktrückruf vom Hofer - GOURMET FINEST COUSINE (Sauce aus Kirchtomaten) - Lebensgefahr durch Glassplitter!!,0,0,225
Marktguru: 50cent Cashback auf Pommes,1.24,0,391
Infodeal: Kostenloses (oder günstiges) Ausborgen von Öfftickets (v.a. NÖ),0,0,571
XBox Store Sale [nur Bestpreise mit bis zu 95%] [Metascore ab 60] bis 01.05 [XBox 360 / One /Series S|X] [Sammeldeal],0,0,296
Philips 7000 Serie PastaMaker,160.34,179.99,168
Apple Pencil USB-C,75.63,83.9,262
carla Depot: -40% beim Afterwork-Shopping für Secondhand-Büromöbel (Aktion am 23.04.2025),0,0,186
Ratschings (Südtirol): Alphotel Tyrol 4* mit Vollpension und 2.000 m² Wellnessbereich - 7 Nächte für 2 Personen,1828,3080,167
"Rowenta Bodenstaubsauger RO6189EA, 400W, 12m Aktionsradius",150,199.9,157
"""Botanicula"" (PC) und (Mobile: Android / iOS) gratis im Epic Games Store ab 17.4. 17 Uhr",0,14.99,632
Trio Leuchten Wandspot Burton E14,14.85,20.92,225
"Preisjäger Junior: ""Grüffelo: Spiele"" (Android / iOS) gratis im Google PlayStore oder Apple AppStore - keine Werbung / keine InApp-Käufe -",0,2.99,405
"6er Pack Puma Damen Strings, Hipster oder Unterhosen",19.99,43.9,311
"PEUGEOT - Rechteckige Auflaufform aus Keramik - 22 cm x 11,3 cm x 5,1 cm, 10J Garantie",9.84,15.88,242
adidas Sport Herren Sonnen-Brille mit rot/orangenen Gläsern oder adidas Sonnen-Brille Damen mit blauen Gläsern,26.16,59.36,186
ATOMSTACK A20 PRO V2 20W Lasergraver Augenschutz 400mm / s High-Speed-Lasergraviermaschine,319.99,459.99,203
Google Pixel 9a mit gratis Pixel Buds A,549,0,249
"Garmin epix 2 Pro Sapphire black/carbon grey, 47mm",499.99,656.99,358
10 fach Punkte bei dm Graz,0,0,267
Hofer lokal Restposten: Polycarbonatkoffer 90l,24.99,0,367
Samsung Galaxy Wearables Cashbackaktion: bis zu 100€ Cashback auf Galaxy Watches oder Galaxy Buds,0,0,287
"Philips EP0820 Kaffeevollautomat, 12 Mahlgradeinstellungen, 1,8L Behälter",187.95,283.38,210
Gymondo 1 Monat statt 7 Tage lang gratis testen (Neukunden),0,0,196
MEDISANA Infrarot Körperthermometer TM A79,13.99,17.9,257
12x Schott Zwiesel Audience Weinglas | Rotwein oder Weißwein,25.9,45,218
"Preisjäger Junior/ Film: ""Mia and Me - Das Geheimnis von Centopia""",0,2.99,305
(Preisjäger Gewinnspiel) Die große Oster Flamedeer Jagd 2025,0,0,1989
"""Indiana Jones und der Grosse Kreis"" (PS5) aktuell günstigster Preis zum Release auf PS5",69.99,78.97,369
[Vorarlberg] V-Card -15%,75,88,261
800. Deal - Gutscheine durch Abonnieren von Newsletter mit Temp Mail,0,0,821
Tekken 7 Originals im Xbox Store und Playstation Store um 14.99,14.99,0,148
Samsung Q930D [CB] + TradeUp,380,589,183
Gratis Glem Vital Shampoo nach Rechnungsnachweis,0,0,866
MÜLLER App - 50% Rabatt auf eine Packung HiPP Windeln 1-6 oder Pants 5-6,6.47,12.95,321
[Steam] AtmaSphere - Kostenlos,0,0,559
"Interspar -15% auf Geschenkkarten (Cineplexx, Wellcard, Zalando, H&M, Hervis und Nike)",85,100,1508
DM live - gratis Pampers Feuchttücher,0,0,315
Cilio Chilimühle Piccante,11.5,16.76,389
Flexispot Ergonomischer Vollnetz-Bürostuhl BS4 bis 136kg,109.99,149.99,400
Ernstings Family: 50% auf Osterartikel,0,0,283
Enders Monroe Pro 4 SIK Turbo zum Obi Preis,499.99,549,344
Obergurgl: Gourmet & Wine Hotel Austria 4* mit Halbpension - z.B. 2 Nächte um 438€ für 2 Personen (+ Kinderermäßigungen) - Juli,432,528,272
"KONIFERA Rundpool »»AQUAFUN« ØxH: 355x90 cm«, (Set, 5 tlg.), in 2 Farben erhältlich",239.99,324.99,282
E-Auto kostenlos Laden (Übersicht),0,0,885
free Mastercard Gold: FREUNDE WERBEN 35€ ERHALTEN,0,0,492
ECOVACS GOAT G1-800 Mähroboter 800㎡ ohne Begrenzungskabel,704.87,847.94,315
PUMA Mini Cats Jogginganzug für Babys und Kleinkinder Gr. 62 - 104,17.99,22.99,335
"360° Vacuum Narrow Mouth Thermosflasche 750m, verschiedene Farben",12.67,22,354
LEGO 10333 Der Herr der Ringe: Barad-dûr,389.97,446.99,561
"Personalshop: 30% auf alle Marken ab 40€ Einkauf z.B. Reusch Damen Softshellmantel für 48,98€",0,0,214
[KwK] 50 € Gutschrift - TFBank TF Mastercard Gold Credit für Neukunden und Werber,50,0,457
The Lord of the Rings: Return to Moria (PS5),15.12,19.97,323
Xiaomi Mijia Smart Skipping Rope,23.61,29.99,136
"Bestron Mini-Waffeleisen Paw Patrol Design, Ø10 cm Waffeln mit Backampel",15.11,17.99,308
DM Drogerie Markt im Q19 feiert am 17.4.2025 Neueröffnung,0,0,375
"Philips HD9257/80 Airfryer XL 3000er Serie, 5,6L (refurbished)",72.99,116.92,347
"Ryanair Blitzverkauf: 20% auf ausgewählte Flüge - z.B. Zadar oder Rijeka hin und retour um 29,98€",29.98,0,731
"Bodylab Discovery Box - Probierbox (6 x 30g + Shaker) um 5,49€ + Versand",11.39,19.53,424
Wera Kraftform Kompakt W1 Wartung,94.88,109.9,335
Therme Erding - (Familien)Urlaubstag für 4 + XXL Pizza + Family Relax Egg für 199€,199,256.9,459
"Samsung UE98DU9070 98"" Crystal UHD Fernseher, 120hz (mit Trade In)",1880.15,2199,303
Creatopia Bastelgeschäft 1180 Wien - alles um die hälfte reduziert,0,0,307
2x Ledvance Endura Style Crystal Torch Sensor Außenleuchte,35.9,71.98,178
Clatronic HBB 3734 Hemdenbügler,46.99,68.17,330
Lidl: Apple Gift Card kaufen und 10% als Lidl Gutschein zurückerhalten,0,0,771
"""Sudoku Erstklassig"" (Android) gratis im Google PlayStore - ohne Werbung / ohne InApp-Käufe -",0,1.99,372
[Hofer ab 22.4.] Sandkasten mit Dach,29.99,59.99,315
"MID.YOU Schlafsessel Bastl, Liegefläche 80x200 cm, max. 140kg",92.05,149,355
"""Suche nach Bigfoot"" (Android / iOS) gratis im Google PlayStore oder Apple AppStore - ohne Werbung -",0,4.59,566
Midea Portasplit Klimaanlage,906.55,0,114
In Athen Segelboot Chartern bis 70% Vergünstigt,0,0,270
HUAWEI WATCH FIT 3 +Extra FreeBuds SE 2,109.92,136.23,296
Lindt Goldhase Vollmilch,1.59,2.79,495
Ultraschallreiniger Konzentrat 500 ml Bestpreis,3.7,5.99,244
(personalisiert) Magenta Moments - 500 Gratis Herzen fürs ausfüllen einer Umfrage,0,0,378
UPDATE JETZT 75 (!!) Prozent auf die gesamte Oster - Süßware,0,0,222
